,From,To
448,CSF1R_HUMAN,CSF1R
449,CSF1_HUMAN,CSF1
450,CSF2R_HUMAN,CSF2RA
451,CSF3R_HUMAN,CSF3R
452,CSMD1_HUMAN,CSMD1
453,CSMD2_HUMAN,CSMD2
454,CSPG4_HUMAN,CSPG4
455,CSPG5_HUMAN,CSPG5
456,CSTN1_HUMAN,CLSTN1
457,CSTN2_HUMAN,CLSTN2
458,CSTN3_HUMAN,CLSTN3
459,CTL1_HUMAN,SLC44A1
460,CTL2_HUMAN,SLC44A2
461,CTL3_HUMAN,SLC44A3
462,CTL4_HUMAN,SLC44A4
463,CTL5_HUMAN,SLC44A5
464,CTLA4_HUMAN,CTLA4
465,CTNS_HUMAN,CTNS
466,CTR2_HUMAN,SLC7A2
467,CTR3_HUMAN,SLC7A3
468,CTR4_HUMAN,SLC7A4
469,CTSRD_HUMAN,CATSPERD
470,CTSRG_HUMAN,CATSPERG
471,CUZD1_HUMAN,CUZD1
472,CX3C1_HUMAN,CX3CR1
473,CXA1_HUMAN,GJA1
474,CXA3_HUMAN,GJA3
475,CXA4_HUMAN,GJA4
476,CXAR_HUMAN,CXADR
477,CXB1_HUMAN,GJB1
478,CXB2_HUMAN,GJB2
479,CXB3_HUMAN,GJB3
480,CXB4_HUMAN,GJB4
481,CXB5_HUMAN,GJB5
482,CXB6_HUMAN,GJB6
483,CXB7_HUMAN,GJB7
484,CXCR1_HUMAN,CXCR1
485,CXCR2_HUMAN,CXCR2
486,CXCR3_HUMAN,CXCR3
487,CXCR4_HUMAN,CXCR4
488,CXCR5_HUMAN,CXCR5
489,CXCR6_HUMAN,CXCR6
490,CXD2_HUMAN,GJD2
491,CXG2_HUMAN,GJC2
492,CXG3_HUMAN,GJC3
493,CXL16_HUMAN,CXCL16
494,CY24B_HUMAN,CYBB
495,DAF_HUMAN,CD55
496,DAG1_HUMAN,DAG1
497,DCBD1_HUMAN,DCBLD1
498,DCBD2_HUMAN,DCBLD2
499,DCC_HUMAN,DCC
500,DCSTP_HUMAN,DCSTAMP
501,DDR1_HUMAN,DDR1
502,DDR2_HUMAN,DDR2
503,DGLA_HUMAN,DAGLA
504,DGLB_HUMAN,DAGLB
505,DIRC2_HUMAN,SLC49A4
506,DISP1_HUMAN,DISP1
507,DISP2_HUMAN,DISP2
508,DLK1_HUMAN,DLK1
509,DLK2_HUMAN,DLK2
510,DLL1_HUMAN,DLL1
511,DLL3_HUMAN,DLL3
512,DLL4_HUMAN,DLL4
513,DMA_HUMAN,HLA-DMA
514,DMB_HUMAN,HLA-DMB
515,DNER_HUMAN,DNER
516,DOA_HUMAN,HLA-DOA
517,DOB_HUMAN,HLA-DOB
518,DOXA1_HUMAN,DUOXA1
519,DPA1_HUMAN,HLA-DPA1
520,DPB1_HUMAN,HLA-DPB1
